Threshold,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,224.434,41.3583,39.6316,5.18506,4.78315,150.521,36.9101,18.3494,3.80007,3.67585,44.2516,67.1048,51.489,43.9368,36.1364,151.301,28.1143,10.7598,5.87197,3.76922,279.648,58.8369,9.63291,7.0693,4.97871
1,39.8956,31.5455,8.45782,5.70451,3.45655,40.0269,30.0138,7.40651,5.44363,3.08184,8.90269,17.9905,5.28436,11.6935,16.2763,69.3527,38.4322,9.67682,5.79462,2.98543,104.84,54.3514,10.1479,7.80235,3.51936
1,205.284,38.9658,23.1406,8.31649,2.3969,162.606,33.816,20.054,8.90338,2.1727,21.8961,28.2984,14.1285,15.447,9.01129,256.62,50.5304,17.1485,6.07017,1.93261,229.37,49.2704,18.6981,7.93034,2.08892
1,778.878,109.06,81.5852,20.6595,6.20659,679.533,80.16,67.5141,19.7471,5.22023,75.1058,44.4584,37.2287,18.7258,14.988,798.935,114.294,61.6501,16.5064,5.38054,780.69,103.571,68.4655,18.251,4.60554
1,449.778,76.5935,47.313,19.101,7.6914,378.847,56.69,42.8621,17.2327,8.06468,211.625,183.479,117.33,51.9059,47.295,441.189,73.7634,47.5385,14.923,7.98767,392.391,70.9847,42.797,15.8852,9.5431
1,142.34,23.7991,18.2496,14.5126,7.7032,110.9,19.9571,23.8965,13.9723,8.58291,197.664,179.151,104.454,57.3996,55.0863,144.748,24.7918,31.1074,11.5148,6.2246,93.4305,22.6732,17.3042,15.4978,10.9446
1,413.219,14.2609,30.547,11.4374,8.29377,342.096,12.6842,38.4762,9.47355,8.15838,48.9716,29.5631,20.3965,17.2359,26.6626,474.677,20.5006,42.0205,11.5605,8.63188,433.649,20.3457,28.3343,14.9502,9.82451
1,239.722,28.9625,34.2562,11.7474,9.48646,198.598,26.652,42.4957,11.9047,8.04398,30.7088,14.2446,13.923,9.4199,20.6405,261.743,31.4412,55.5967,10.4219,11.975,263.287,34.9175,28.7353,15.0991,9.36677
1,121.835,61.7922,34.8595,20.165,8.68197,99.1908,57.8025,33.7094,21.6749,6.54961,19.4715,17.7216,10.3256,9.83044,19.6168,115.271,65.6075,44.8205,22.9307,9.16991,124.091,69.9801,37.262,22.5945,6.82901
1,155.72,79.5037,67.0573,23.5855,6.42186,118.944,68.4458,56.3866,20.7444,5.6601,49.1997,27.6404,7.92473,15.0499,10.7306,126.02,85.8205,62.0412,24.9236,6.26897,175.04,83.8491,65.2376,23.0302,5.46135
